Event,Time Start,Time End
WL_Lecture-Focus_of_Activity-Workshop_Instructions,11:54:10 AM,11:54:34 AM
SG_Discuss-Focus_of_Activity-WL_Simulating_IS,11:54:36 AM,11:55:07 AM
WL_Lecture-Focus_of_Activity-Workshop_Instructions,11:55:13 AM,11:55:25 AM
WL_Lecture-Focus_of_Activity-WL_Pre_Workshop_Experiences,11:55:24 AM,11:57:35 AM
FP_Ind_Work-Focus_of_Activity-WL_Pre_Workshop_Experiences,11:57:36 AM,11:57:45 AM
WL_Lecture-Focus_of_Activity-WL_Pre_Workshop_Experiences,11:57:46 AM,11:58:10 AM
WL_Lecture-Focus_of_Activity-FP_Pre_Workshop_Experiences,11:58:09 AM,11:58:24 AM
FP_Ind_Work-Focus_of_Activity-FP_Pre_Workshop_Experiences,11:58:25 AM,11:58:34 AM
LG_Closed_WLQ-Focus_of_Activity-FP_Pre_Workshop_Experiences,11:58:35 AM,11:58:40 AM
WL_Lecture-Focus_of_Activity-IS_Description_and_Purpose,11:58:45 AM,11:58:53 AM
WL_Lecture-Focus_of_Activity-WL_Simulating_IS,11:58:52 AM,11:59:14 AM
WL_Lecture-Focus_of_Activity-FP_Pre_Workshop_Experiences,11:58:55 AM,11:59:04 AM
WL_Lecture-Focus_of_Activity-FP_Pre_Workshop_Experiences,11:59:09 AM,11:59:14 AM
FP_Ind_Work-Focus_of_Activity-WL_Simulating_IS,11:59:15 AM,11:59:57 AM
FP_Ind_Work-Focus_of_Activity-FP_Pre_Workshop_Experiences,11:59:16 AM,11:59:57 AM
LG_Closed_FPQ-Focus_of_Activity-WL_Simulating_IS,11:59:58 AM,12:00:07 PM
LG_Closed_FPQ-Focus_of_Activity-FP_Pre_Workshop_Experiences,12:00:00 PM,12:00:07 PM
FP_Ind_Work-Focus_of_Activity-WL_Simulating_IS,12:00:08 PM,12:00:43 PM
FP_Ind_Work-Focus_of_Activity-Student_Experiences,12:00:08 PM,12:00:09 PM
FP_Ind_Work-Focus_of_Activity-FP_Pre_Workshop_Experiences,12:00:09 PM,12:00:23 PM
FP_Ind_Work-Focus_of_Activity-FP_Pre_Workshop_Experiences,12:00:32 PM,12:00:43 PM
WL_Lecture-Focus_of_Activity-Workshop_Instructions,12:00:43 PM,12:00:53 PM
WL_Lecture-Focus_of_Activity-WL_Simulating_IS,12:00:52 PM,12:01:32 PM
WL_Lecture-Focus_of_Activity-FP_Pre_Workshop_Experiences,12:01:04 PM,12:01:31 PM
WL_Lecture-Focus_of_Activity-Student_Experiences,12:01:26 PM,12:01:29 PM
WL_Lecture-Focus_of_Activity-IS_Description_and_Purpose,12:01:32 PM,12:02:50 PM
WL_Lecture-Focus_of_Activity-FP_Pre_Workshop_Experiences,12:02:04 PM,12:02:11 PM
WL_Lecture-Focus_of_Activity-WL_Pre_Workshop_Experiences,12:02:33 PM,12:02:36 PM
WL_Lecture-Focus_of_Activity-Education_Research_Theory_and_Results,12:02:50 PM,12:03:06 PM
WL_Lecture-Focus_of_Activity-IS_Description_and_Purpose,12:03:05 PM,12:03:23 PM
WL_Lecture-Focus_of_Activity-Education_Research_Theory_and_Results,12:03:22 PM,12:04:13 PM
