Event,Time Start,Time End
WL_Lecture-Focus_of_Activity-Workshop_Instructions,11:41:58 AM,11:44:39 AM
WL_Lecture-Focus_of_Activity-Workshop_Instructions,11:44:42 AM,11:44:58 AM
FP_Present-Focus_of_Activity-FP_Simulating_IS,11:44:59 AM,11:45:03 AM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_Simulated_IS,11:45:05 AM,11:45:15 AM
WL_Lecture-Focus_of_Activity-Analyzing_Simulated_IS,11:45:16 AM,11:45:23 AM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_Simulated_IS,11:45:24 AM,11:45:25 AM
FP_Present-Focus_of_Activity-WL_Simulating_IS,11:45:26 AM,11:45:27 AM
FP_Present-Focus_of_Activity-FP_Simulating_IS,11:45:27 AM,11:45:48 AM
FP_Present-Focus_of_Activity-Disciplinary_Content_Knowledge,11:45:29 AM,11:45:48 AM
FP_Ind_Work-Focus_of_Activity-FP_Simulating_IS,11:45:48 AM,11:45:53 AM
FP_Ind_Work-Focus_of_Activity-Disciplinary_Content_Knowledge,11:45:49 AM,11:45:53 AM
FP_Present-Focus_of_Activity-FP_Simulating_IS,11:45:55 AM,11:46:15 AM
FP_Present-Focus_of_Activity-Disciplinary_Content_Knowledge,11:46:00 AM,11:46:15 AM
FP_Ind_Work-Focus_of_Activity-FP_Simulating_IS,11:46:16 AM,11:46:19 AM
FP_Ind_Work-Focus_of_Activity-Disciplinary_Content_Knowledge,11:46:16 AM,11:46:19 AM
FP_Present-Focus_of_Activity-FP_Simulating_IS,11:46:20 AM,11:46:53 AM
FP_Present-Focus_of_Activity-Disciplinary_Content_Knowledge,11:46:21 AM,11:46:53 AM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_Simulated_IS,11:46:55 AM,11:46:57 AM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_Simulated_IS,11:46:59 AM,11:47:17 AM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_Simulated_IS,11:47:20 AM,11:47:32 AM
WL_Lecture-Focus_of_Activity-WL_Simulating_IS,11:47:35 AM,11:47:41 AM
SG_Discuss-Focus_of_Activity-FP_Simulating_IS,11:47:45 AM,11:48:22 AM
