Event,Time Start,Time End
WL_Lecture-Focus_of_Activity-IS_Description_and_Purpose,10:46:29 AM,10:47:22 AM
WL_Lecture-Focus_of_Activity-Education_Research_Theory_and_Results,10:46:55 AM,10:47:00 AM
WL_Lecture-Focus_of_Activity-Workshop_Instructions,10:47:23 AM,10:47:29 AM
WL_Lecture-Focus_of_Activity-IS_Description_and_Purpose,10:47:30 AM,10:48:46 AM
WL_Lecture-Focus_of_Activity-Workshop_Instructions,10:47:58 AM,10:48:03 AM
WL_Lecture-Focus_of_Activity-Education_Research_Theory_and_Results,10:48:24 AM,10:48:36 AM
WL_Lecture-Focus_of_Activity-Workshop_Instructions,10:48:47 AM,10:49:05 AM
SG_Discuss-Focus_of_Activity-Workshop_Instructions,10:49:05 AM,10:49:10 AM
WL_Lecture-Focus_of_Activity-Workshop_Instructions,10:49:11 AM,10:49:45 AM
FP_Ind_Work-Focus_of_Activity-WL_Simulating_IS,10:49:47 AM,10:50:07 AM
FP_Ind_Work-Focus_of_Activity-Disciplinary_Content_Knowledge,10:49:53 AM,10:50:21 AM
FP_Ind_Work-Focus_of_Activity-Student_Experiences,10:50:13 AM,10:50:21 AM
SG_Discuss-Focus_of_Activity-Student_Experiences,10:50:22 AM,10:52:10 AM
SG_Discuss-Focus_of_Activity-Disciplinary_Content_Knowledge,10:50:23 AM,10:52:10 AM
WL_Lecture-Focus_of_Activity-Workshop_Instructions,10:52:10 AM,10:53:33 AM
WL_Lecture-Focus_of_Activity-IS_Description_and_Purpose,10:52:30 AM,10:52:58 AM
FP_Ind_Work-Focus_of_Activity-WL_Simulating_IS,10:53:35 AM,10:55:51 AM
FP_Ind_Work-Focus_of_Activity-Disciplinary_Content_Knowledge,10:53:41 AM,10:55:51 AM
WL_Lecture-Focus_of_Activity-Workshop_Instructions,10:55:51 AM,10:55:54 AM
SG_Discuss-Focus_of_Activity-Analyzing_Simulated_IS,10:55:55 AM,11:00:13 AM
SG_Discuss-Focus_of_Activity-Disciplinary_Content_Knowledge,10:55:55 AM,11:00:13 AM
SG_Discuss-Focus_of_Activity-Student_Experiences,10:56:17 AM,10:58:15 AM
SG_Discuss-Focus_of_Activity-Student_Experiences,10:58:50 AM,11:00:13 AM
LG_Open_Discuss-Focus_of_Activity-Analyzing_Simulated_IS,11:00:14 AM,11:03:47 AM
LG_Open_Discuss-Focus_of_Activity-Analyzing_and_Creating_Student_Tasks,11:00:41 AM,11:00:44 AM
LG_Open_Discuss-Focus_of_Activity-Disciplinary_Content_Knowledge,11:00:45 AM,11:01:02 AM
LG_Open_Discuss-Focus_of_Activity-Student_Experiences,11:00:48 AM,11:00:53 AM
LG_Open_Discuss-Focus_of_Activity-Analyzing_and_Creating_Student_Tasks,11:00:54 AM,11:00:58 AM
LG_Open_Discuss-Focus_of_Activity-Student_Experiences,11:01:04 AM,11:01:58 AM
LG_Open_Discuss-Focus_of_Activity-Disciplinary_Content_Knowledge,11:02:09 AM,11:02:18 AM
LG_Open_Discuss-Focus_of_Activity-Student_Experiences,11:02:10 AM,11:02:17 AM
LG_Open_Discuss-Focus_of_Activity-Disciplinary_Content_Knowledge,11:03:02 AM,11:03:07 AM
LG_Open_Discuss-Focus_of_Activity-Disciplinary_Content_Knowledge,11:03:32 AM,11:03:42 AM
WL_Lecture-Focus_of_Activity-IS_Description_and_Purpose,11:03:49 AM,11:04:35 AM
WL_Lecture-Focus_of_Activity-Analyzing_Simulated_IS,11:04:29 AM,11:04:31 AM
WL_Lecture-Focus_of_Activity-Workshop_Instructions,11:04:36 AM,11:04:43 AM
WL_Lecture-Focus_of_Activity-IS_Description_and_Purpose,11:04:38 AM,11:04:53 AM
WL_Lecture-Focus_of_Activity-Workshop_Instructions,11:04:48 AM,11:05:29 AM
FP_Ind_Work-Focus_of_Activity-WL_Simulating_IS,11:05:30 AM,11:07:46 AM
FP_Ind_Work-Focus_of_Activity-Disciplinary_Content_Knowledge,11:05:32 AM,11:07:46 AM
WL_Lecture-Focus_of_Activity-Workshop_Instructions,11:07:47 AM,11:07:48 AM
SG_Discuss-Focus_of_Activity-Analyzing_Simulated_IS,11:07:49 AM,11:07:55 AM
FP_Ind_Work-Focus_of_Activity-Analyzing_Simulated_IS,11:07:56 AM,11:08:01 AM
SG_Discuss-Focus_of_Activity-Analyzing_Simulated_IS,11:08:02 AM,11:08:06 AM
SG_Discuss-Focus_of_Activity-Analyzing_Simulated_IS,11:08:08 AM,11:13:23 AM
SG_Discuss-Focus_of_Activity-Student_Experiences,11:08:27 AM,11:08:45 AM
SG_Discuss-Focus_of_Activity-Disciplinary_Content_Knowledge,11:08:39 AM,11:08:44 AM
SG_Discuss-Focus_of_Activity-FP_Pre_Workshop_Experiences,11:09:16 AM,11:09:33 AM
SG_Discuss-Focus_of_Activity-Student_Experiences,11:09:47 AM,11:09:53 AM
SG_Discuss-Focus_of_Activity-FP_Pre_Workshop_Experiences,11:10:08 AM,11:10:23 AM
SG_Discuss-Focus_of_Activity-Student_Experiences,11:10:24 AM,11:10:56 AM
SG_Discuss-Focus_of_Activity-FP_Pre_Workshop_Experiences,11:10:32 AM,11:10:57 AM
SG_Discuss-Focus_of_Activity-Disciplinary_Content_Knowledge,11:11:05 AM,11:11:13 AM
SG_Discuss-Focus_of_Activity-Student_Experiences,11:11:34 AM,11:12:39 AM
SG_Discuss-Focus_of_Activity-Disciplinary_Content_Knowledge,11:12:51 AM,11:13:09 AM
SG_Discuss-Focus_of_Activity-Student_Experiences,11:12:55 AM,11:13:08 AM
LG_Open_Discuss-Focus_of_Activity-Analyzing_Simulated_IS,11:13:25 AM,11:16:58 AM
LG_Open_Discuss-Focus_of_Activity-Disciplinary_Content_Knowledge,11:13:47 AM,11:13:51 AM
LG_Open_Discuss-Focus_of_Activity-Disciplinary_Content_Knowledge,11:14:43 AM,11:14:48 AM
LG_Open_Discuss-Focus_of_Activity-Disciplinary_Content_Knowledge,11:15:29 AM,11:15:34 AM
LG_Open_Discuss-Focus_of_Activity-Student_Experiences,11:15:55 AM,11:16:30 AM
WL_Lecture-Focus_of_Activity-Analyzing_Simulated_IS,11:16:59 AM,11:17:06 AM
LG_Open_Discuss-Focus_of_Activity-Analyzing_Simulated_IS,11:17:07 AM,11:17:39 AM
LG_Open_Discuss-Focus_of_Activity-Student_Experiences,11:17:21 AM,11:17:26 AM
WL_Lecture-Focus_of_Activity-Analyzing_Simulated_IS,11:17:40 AM,11:18:31 AM
LG_Open_Discuss-Focus_of_Activity-Analyzing_Simulated_IS,11:18:32 AM,11:21:38 AM
LG_Open_Discuss-Focus_of_Activity-Student_Experiences,11:19:22 AM,11:19:24 AM
LG_Open_Discuss-Focus_of_Activity-Disciplinary_Content_Knowledge,11:19:50 AM,11:19:59 AM
LG_Open_Discuss-Focus_of_Activity-Disciplinary_Content_Knowledge,11:20:16 AM,11:20:42 AM
LG_Open_Discuss-Focus_of_Activity-Student_Experiences,11:20:36 AM,11:20:40 AM
LG_Open_Discuss-Focus_of_Activity-Student_Experiences,11:20:53 AM,11:20:57 AM
LG_Open_Discuss-Focus_of_Activity-IS_Description_and_Purpose,11:21:39 AM,11:21:43 AM
WL_Lecture-Focus_of_Activity-IS_Description_and_Purpose,11:21:44 AM,11:21:53 AM
LG_Open_Discuss-Focus_of_Activity-Analyzing_Simulated_IS,11:21:54 AM,11:23:14 AM
LG_Open_Discuss-Focus_of_Activity-Student_Experiences,11:22:11 AM,11:22:16 AM
LG_Open_Discuss-Focus_of_Activity-Student_Experiences,11:22:33 AM,11:22:41 AM
WL_Lecture-Focus_of_Activity-IS_Description_and_Purpose,11:23:15 AM,11:30:59 AM
WL_Lecture-Focus_of_Activity-Disciplinary_Content_Knowledge,11:25:27 AM,11:25:31 AM
WL_Lecture-Focus_of_Activity-Analyzing_Simulated_IS,11:28:28 AM,11:28:37 AM
WL_Lecture-Focus_of_Activity-Planning_for_FP_Future_Teaching,11:29:10 AM,11:29:23 AM
WL_Lecture-Focus_of_Activity-Planning_for_FP_Future_Teaching,11:29:46 AM,11:30:08 AM
LG_Closed_FPQ-Focus_of_Activity-IS_Description_and_Purpose,11:31:00 AM,11:33:44 AM
LG_Closed_FPQ-Focus_of_Activity-Education_Research_Theory_and_Results,11:33:45 AM,11:34:32 AM
LG_Closed_FPQ-Focus_of_Activity-IS_Description_and_Purpose,11:34:08 AM,11:34:50 AM
